accuracy,brier_sum,cohort,condition,ece_10_equal_bins,examples_per_second,forced_close_fraction,latency_p50_seconds,latency_p95_seconds,macro_f1,max_peak_allocated_bytes,mean_reasoning_tokens,n,natural_close_fraction,nll,prediction_counts,probability_metric_scope,slice,valid_fraction
0.335,1.3234051885115405,pilot,A,0.6628760477900505,29.09961352399656,0.0,0.03326439050033514,0.045770275148606744,0.16729088639200998,1262115328,0.0,400,0.0,5.979217370903107,"{'True': 400, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",all,1.0
0.5037593984962406,0.9912997066108539,pilot,A,0.4956234662156356,28.36513623552164,0.0,0.03393441799926222,0.04591239820001647,0.22333333333333336,1262115328,0.0,133,0.0,4.79091553533904,"{'True': 133, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",deep,1.0
0.5074626865671642,0.9836803034983168,pilot,A,0.4911418405931387,29.638981955836535,0.0,0.0330623400004697,0.04221633879897123,0.22442244224422445,1261338112,0.0,67,0.0,4.61685053215453,"{'True': 67, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",shallow,1.0
0.0,1.9831352445265473,pilot,A,0.995486308757524,29.493290441663422,0.0,0.032498077998752706,0.04553988359912182,0.0,1262115328,0.0,133,0.0,8.430556216592139,"{'True': 133, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",unknown,1.0
0.5,0.998214555419411,pilot,A,0.49772836004986487,29.78462048897184,0.0,0.03280008299952897,0.03926507089981895,0.2222222222222222,1260172800,0.0,34,0.0,4.761035678640379,"{'True': 34, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_0,1.0
0.5151515151515151,0.9687056197008261,pilot,A,0.484355729637724,29.49041232397172,0.0,0.03311097999903723,0.039556855199043624,0.22666666666666668,1261338112,0.0,33,0.0,4.4682961388054725,"{'True': 33, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_1,1.0
0.4925373134328358,1.012770844312759,pilot,A,0.5063629212664135,29.296076096174417,0.0,0.033209082001121715,0.04429412729878095,0.22,1261597184,0.0,67,0.0,4.834361488060344,"{'True': 67, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_2,1.0
0.5,0.9989535364669951,pilot,A,0.4994528284578612,28.552054642574095,0.0,0.033515558499857434,0.04613391174825665,0.2222222222222222,1262115328,0.0,66,0.0,4.890463776474057,"{'True': 66, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_3,1.0
0.5074626865671642,0.9837601130212227,pilot,A,0.4918512586337417,28.18338515819875,0.0,0.03430128300169599,0.045857318299385955,0.22442244224422445,1261079040,0.0,67,0.0,4.692853088847828,"{'True': 67, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",depth_5,1.0
1.0,2.7021073121905545e-05,pilot,A,0.00046327710151672363,29.065693786848495,0.0,0.033616271499340655,0.04550563290122227,0.3333333333333333,1261597184,0.0,134,0.0,0.00047035439402391574,"{'True': 134, 'False': 0, 'Unknown': 0, None: 0}","all restricted slot distributions, including invalid public readouts",class_True,1.0
